10/10/2000 4:00,200010100400,00.02,003,,010,04.10,001,,010,,010,,010,00.00,001,,010,956.00,001,,010,131.05,001,00.63,001,,,,,,,,,,,,,,,,,,
10/10/2000 4:30,200010100430,00.02,003,,010,04.11,001,,010,,010,,010,00.00,001,,010,956.00,001,,010,80.66,001,00.67,001,,,,,,,,,,,,,,,,,,
10/10/2000 5:00,200010100500,00.02,003,,010,03.97,001,,010,,010,,010,00.00,001,,010,956.00,001,,010,353.05,001,00.37,001,,,,,,,,,,,,,,,,,,
10/10/2000 5:30,200010100530,00.02,003,,010,03.79,001,,010,,010,,010,00.00,001,,010,956.00,001,,010,351.45,001,00.44,001,,,,,,,,,,,,,,,,,,
10/10/2000 6:00,200010100600,00.02,003,,010,03.61,001,,010,,010,,010,00.00,001,,010,956.00,001,,010,179.76,001,00.64,001,,,,,,,,,,,,,,,,,,
10/10/2000 6:30,200010100630,00.02,003,,010,03.69,001,,010,,010,,010,00.00,001,,010,956.00,001,,010,346.30,001,00.49,001,,,,,,,,,,,,,,,,,,
10/10/2000 7:00,200010100700,01.04,001,,010,03.80,001,,010,,010,,010,00.00,001,,010,955.50,001,,010,09.55,001,00.38,001,,,,,,,,,,,,,,,,,,
10/10/2000 7:30,200010100730,17.77,001,,010,03.79,001,,010,,010,,010,00.00,001,,010,955.00,001,,010,343.05,001,00.40,001,,,,,,,,,,,,,,,,,,
10/10/2000 8:00,200010100800,21.22,001,,010,03.98,001,,010,,010,,010,00.00,001,,010,955.00,001,,010,09.90,001,,010,,,,,,,,,,,,,,,,,,
10/10/2000 8:30,200010100830,60.23,001,,010,04.22,001,,010,,010,,010,00.00,001,,010,955.00,001,,010,18.23,001,00.30,001,,,,,,,,,,,,,,,,,,
10/10/2000 9:00,200010100900,103.50,001,,010,04.74,001,,010,,010,,010,00.00,001,,010,955.00,001,,010,197.13,001,00.43,001,,,,,,,,,,,,,,,,,,
10/10/2000 9:30,200010100930,110.55,001,,010,05.18,001,,010,,010,,010,00.00,001,,010,954.00,001,,010,101.85,001,00.63,001,,,,,,,,,,,,,,,,,,
10/10/2000 10:00,200010101000,90.60,001,,010,05.28,001,,010,,010,,010,00.00,001,,010,954.00,001,,010,107.65,001,00.77,001,,,,,,,,,,,,,,,,,,
10/10/2000 10:30,200010101030,74.85,001,,010,05.31,001,,010,,010,,010,00.00,001,,010,954.00,001,,010,123.35,001,00.56,001,,,,,,,,,,,,,,,,,,
10/10/2000 11:00,200010101100,140.95,001,,010,05.58,001,,010,,010,,010,00.00,001,,010,953.50,001,,010,65.51,001,00.52,001,,,,,,,,,,,,,,,,,,
10/10/2000 11:30,200010101130,216.90,001,,010,06.14,001,,010,,010,,010,00.00,001,,010,953.00,001,,010,23.44,001,00.62,001,,,,,,,,,,,,,,,,,,
10/10/2000 12:00,200010101200,196.70,001,,010,06.53,001,,010,,010,,010,00.00,001,,010,952.50,001,,010,185.70,001,00.52,001,,,,,,,,,,,,,,,,,,
10/10/2000 12:30,200010101230,182.30,001,,010,06.76,001,,010,,010,,010,00.00,001,,010,952.00,001,,010,10.60,001,00.61,001,,,,,,,,,,,,,,,,,,
10/10/2000 13:00,200010101300,123.95,001,,010,06.90,001,,010,,010,,010,00.00,001,,010,952.00,001,,010,13.33,001,00.49,001,,,,,,,,,,,,,,,,,,
10/10/2000 13:30,200010101330,122.60,001,,010,07.04,001,,010,,010,,010,00.00,001,,010,951.00,001,,010,44.27,001,00.52,001,,,,,,,,,,,,,,,,,,
10/10/2000 14:00,200010101400,167.00,001,,010,07.28,001,,010,,010,,010,00.00,001,,010,951.00,001,,010,358.70,001,00.55,001,,,,,,,,,,,,,,,,,,
10/10/2000 14:30,200010101430,134.10,001,,010,07.12,001,,010,,010,,010,00.00,001,,010,950.50,001,,010,179.31,001,00.64,001,,,,,,,,,,,,,,,,,,
10/10/2000 15:00,200010101500,87.70,001,,010,06.88,001,,010,,010,,010,00.00,001,,010,950.00,001,,010,176.18,001,00.68,001,,,,,,,,,,,,,,,,,,
10/10/2000 15:30,200010101530,47.96,001,,010,06.71,001,,010,,010,,010,00.00,001,,010,950.00,001,,010,344.45,001,00.46,001,,,,,,,,,,,,,,,,,,
10/10/2000 16:00,200010101600,36.05,001,,010,06.61,001,,010,,010,,010,00.00,001,,010,949.50,001,,010,345.90,001,,010,,,,,,,,,,,,,,,,,,
10/10/2000 16:30,200010101630,25.94,001,,010,06.57,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,333.65,001,,010,,,,,,,,,,,,,,,,,,
10/10/2000 17:00,200010101700,05.20,001,,010,06.09,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,201.80,001,00.95,001,,,,,,,,,,,,,,,,,,
10/10/2000 17:30,200010101730,00.02,003,,010,05.45,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,222.35,001,00.99,001,,,,,,,,,,,,,,,,,,
10/10/2000 18:00,200010101800,00.02,003,,010,04.94,001,,010,,010,,010,00.00,001,,010,948.00,001,,010,224.60,001,01.00,001,,,,,,,,,,,,,,,,,,
10/10/2000 18:30,200010101830,00.02,003,,010,04.87,001,,010,,010,,010,00.00,001,,010,948.00,001,,010,231.80,001,00.64,001,,,,,,,,,,,,,,,,,,
10/10/2000 19:00,200010101900,00.02,003,,010,04.43,001,,010,,010,,010,00.00,001,,010,948.00,001,,010,236.85,001,00.77,001,,,,,,,,,,,,,,,,,,
10/10/2000 19:30,200010101930,00.02,003,,010,04.35,001,,010,,010,,010,00.00,001,,010,947.50,001,,010,220.10,001,01.19,001,,,,,,,,,,,,,,,,,,
10/10/2000 20:00,200010102000,00.02,003,,010,03.92,001,,010,,010,,010,00.00,001,,010,947.00,001,,010,225.20,001,00.97,001,,,,,,,,,,,,,,,,,,
10/10/2000 20:30,200010102030,00.02,003,,010,03.25,001,,010,,010,,010,00.00,001,,010,947.00,001,,010,219.75,001,00.56,001,,,,,,,,,,,,,,,,,,
10/10/2000 21:00,200010102100,00.02,003,,010,03.34,001,,010,,010,,010,00.00,001,,010,947.00,001,,010,221.80,001,00.95,001,,,,,,,,,,,,,,,,,,
10/10/2000 21:30,200010102130,00.02,003,,010,03.51,001,,010,,010,,010,00.00,001,,010,947.00,001,,010,257.40,001,00.68,001,,,,,,,,,,,,,,,,,,
10/10/2000 22:00,200010102200,00.02,003,,010,03.28,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,246.40,001,00.67,001,,,,,,,,,,,,,,,,,,
10/10/2000 22:30,200010102230,00.02,003,,010,03.56,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,230.10,001,00.84,001,,,,,,,,,,,,,,,,,,
10/10/2000 23:00,200010102300,00.02,003,,010,03.03,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,197.95,001,01.13,001,,,,,,,,,,,,,,,,,,
10/10/2000 23:30,200010102330,00.02,003,,010,03.18,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,233.05,001,00.47,001,,,,,,,,,,,,,,,,,,
10/11/2000 0:00,200010110000,00.02,003,,010,03.56,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,204.80,001,00.65,001,,,,,,,,,,,,,,,,,,
10/11/2000 0:30,200010110030,00.02,003,,010,03.89,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,197.90,001,01.34,001,,,,,,,,,,,,,,,,,,
10/11/2000 1:00,200010110100,00.02,003,,010,04.17,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,197.55,001,01.94,001,,,,,,,,,,,,,,,,,,
10/11/2000 1:30,200010110130,00.02,003,,010,04.16,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,201.25,001,03.06,001,,,,,,,,,,,,,,,,,,
10/11/2000 2:00,200010110200,00.02,003,,010,03.99,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,184.75,001,02.56,001,,,,,,,,,,,,,,,,,,
10/11/2000 2:30,200010110230,00.02,003,,010,03.92,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,193.55,001,02.58,001,,,,,,,,,,,,,,,,,,
10/11/2000 3:00,200010110300,00.02,003,,010,03.49,001,,010,,010,,010,00.00,001,,010,946.00,001,,010,195.05,001,02.00,001,,,,,,,,,,,,,,,,,,
10/11/2000 3:30,200010110330,00.02,003,,010,03.10,001,,010,,010,,010,00.00,001,,010,947.00,001,,010,154.90,001,00.69,001,,,,,,,,,,,,,,,,,,
10/11/2000 4:00,200010110400,00.02,003,,010,02.29,001,,010,,010,,010,00.00,001,,010,947.00,001,,010,218.55,001,00.49,001,,,,,,,,,,,,,,,,,,
10/11/2000 4:30,200010110430,00.02,003,,010,02.12,001,,010,,010,,010,00.00,001,,010,947.00,001,,010,190.20,001,00.89,001,,,,,,,,,,,,,,,,,,
10/11/2000 5:00,200010110500,00.02,003,,010,01.90,001,,010,,010,,010,00.00,001,,010,947.50,001,,010,183.45,001,01.14,001,,,,,,,,,,,,,,,,,,
10/11/2000 5:30,200010110530,00.02,003,,010,01.68,001,,010,,010,,010,00.00,001,,010,948.00,001,,010,187.05,001,00.96,001,,,,,,,,,,,,,,,,,,
10/11/2000 6:00,200010110600,00.02,003,,010,01.21,001,,010,,010,,010,00.00,001,,010,948.00,001,,010,284.55,001,00.39,001,,,,,,,,,,,,,,,,,,
10/11/2000 6:30,200010110630,00.02,003,,010,00.59,001,,010,,010,,010,00.00,001,,010,948.00,001,,010,304.70,001,00.36,001,,,,,,,,,,,,,,,,,,
10/11/2000 7:00,200010110700,03.39,001,,010,00.55,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,307.00,001,00.53,001,,,,,,,,,,,,,,,,,,
10/11/2000 7:30,200010110730,21.09,001,,010,00.68,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,302.00,001,,010,,,,,,,,,,,,,,,,,,
10/11/2000 8:00,200010110800,53.03,001,,010,00.92,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,317.55,001,00.51,001,,,,,,,,,,,,,,,,,,
10/11/2000 8:30,200010110830,67.20,001,,010,01.83,001,,010,,010,,010,00.00,001,,010,949.50,001,,010,284.80,001,,010,,,,,,,,,,,,,,,,,,
10/11/2000 9:00,200010110900,53.31,001,,010,02.85,001,,010,,010,,010,00.00,001,,010,950.00,001,,010,285.50,001,00.28,001,,,,,,,,,,,,,,,,,,
10/11/2000 9:30,200010110930,78.05,001,,010,03.71,001,,010,,010,,010,00.00,001,,010,950.00,001,,010,311.70,001,00.31,001,,,,,,,,,,,,,,,,,,
10/11/2000 10:00,200010111000,197.15,001,,010,05.56,001,,010,,010,,010,00.00,001,,010,950.00,001,,010,345.25,001,00.34,001,,,,,,,,,,,,,,,,,,
10/11/2000 10:30,200010111030,153.00,001,,010,06.42,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,04.79,001,00.78,001,,,,,,,,,,,,,,,,,,
10/11/2000 11:00,200010111100,145.20,001,,010,06.53,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,181.62,001,01.11,001,,,,,,,,,,,,,,,,,,
10/11/2000 11:30,200010111130,43.97,001,,010,06.06,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,180.29,001,00.97,001,,,,,,,,,,,,,,,,,,
10/11/2000 12:00,200010111200,51.67,001,,010,06.32,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,07.31,001,01.10,001,,,,,,,,,,,,,,,,,,
10/11/2000 12:30,200010111230,61.33,001,,010,06.52,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,180.53,001,01.36,001,,,,,,,,,,,,,,,,,,
10/11/2000 13:00,200010111300,43.37,001,,010,06.36,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,04.77,001,01.75,001,,,,,,,,,,,,,,,,,,
10/11/2000 13:30,200010111330,61.21,001,,010,06.33,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,179.89,001,01.49,001,,,,,,,,,,,,,,,,,,
10/11/2000 14:00,200010111400,63.49,001,,010,06.70,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,06.62,001,00.94,001,,,,,,,,,,,,,,,,,,
10/11/2000 14:30,200010111430,46.86,001,,010,06.23,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,195.20,001,01.01,001,,,,,,,,,,,,,,,,,,
10/11/2000 15:00,200010111500,26.89,001,,010,06.72,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,01.44,001,01.12,001,,,,,,,,,,,,,,,,,,
10/11/2000 15:30,200010111530,47.95,001,,010,07.07,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,04.99,001,01.40,001,,,,,,,,,,,,,,,,,,
10/11/2000 16:00,200010111600,15.35,001,,010,06.92,001,,010,,010,,010,00.00,001,,010,949.00,001,,010,03.07,001,01.86,001,,,,,,,,,,,,,,,,,,
10/11/2000 16:30,200010111630,10.30,001,,010,06.37,001,,010,,010,,010,00.00,001,,010,950.00,001,,010,08.55,001,00.89,001,,,,,,,,,,,,,,,,,,
10/11/2000 17:00,200010111700,07.70,001,,010,06.41,001,,010,,010,,010,00.00,001,,010,950.00,001,,010,183.43,001,00.59,001,,,,,,,,,,,,,,,,,,
