1/28/2012 5:00,201201280500,00.02,003,-00.90,001,-01.42,001,-00.81,001,91.15,001,84.33,001,00.00,001,00.00,001,1004.50,001,1003.97,001,191.22,001,01.66,001,,,,,,,,,,,,,,,,,,
1/28/2012 5:30,201201280530,00.02,003,-00.77,001,-01.32,001,-00.84,001,90.60,001,83.76,001,00.00,001,00.00,001,1005.00,001,1004.22,001,189.09,001,02.06,001,,,,,,,,,,,,,,,,,,
1/28/2012 6:00,201201280600,00.02,003,-00.83,001,-01.37,001,-00.99,001,90.15,001,84.51,001,00.00,001,00.00,001,1005.00,001,1004.52,001,195.05,001,02.21,001,,,,,,,,,,,,,,,,,,
1/28/2012 6:30,201201280630,00.02,003,-00.93,001,-01.45,001,-00.69,001,90.80,001,83.73,001,00.00,001,00.00,001,1005.00,001,1004.72,001,191.39,001,02.09,001,,,,,,,,,,,,,,,,,,
1/28/2012 7:00,201201280700,00.02,003,-00.61,001,-01.14,001,-00.84,001,89.80,001,83.60,001,00.00,001,00.00,001,1005.50,001,1004.99,001,189.36,001,01.68,001,,,,,,,,,,,,,,,,,,
1/28/2012 7:30,201201280730,00.02,003,-00.82,001,-01.37,001,-01.08,001,89.95,001,84.20,001,00.00,001,00.00,001,1006.00,001,1005.29,001,186.88,001,01.48,001,,,,,,,,,,,,,,,,,,
1/28/2012 8:00,201201280800,00.02,003,-01.03,001,-01.60,001,-01.20,001,90.55,001,84.64,001,00.00,001,00.00,001,1006.00,001,1005.45,001,179.52,001,01.89,001,,,,,,,,,,,,,,,,,,
1/28/2012 8:30,201201280830,05.09,001,-01.19,001,-01.74,001,-01.05,001,91.10,001,84.69,001,00.00,001,00.00,001,1006.00,001,1005.65,001,195.78,001,02.11,001,,,,,,,,,,,,,,,,,,
1/28/2012 9:00,201201280900,17.48,001,-00.97,001,-01.48,001,-00.30,001,90.95,001,81.88,001,00.00,001,00.00,001,1006.00,001,1005.88,001,200.70,001,02.18,001,,,,,,,,,,,,,,,,,,
1/28/2012 9:30,201201280930,40.07,001,-00.16,001,-00.65,001,00.25,001,87.50,001,80.09,001,00.00,001,00.00,001,1007.00,001,1006.02,001,198.97,001,01.52,001,,,,,,,,,,,,,,,,,,
1/28/2012 10:00,201201281000,56.92,001,00.54,001,00.00,001,00.77,001,85.40,001,78.12,001,00.00,001,00.00,001,1007.00,001,1006.17,001,188.62,001,02.01,001,,,,,,,,,,,,,,,,,,
1/28/2012 10:30,201201281030,95.25,001,00.95,001,00.38,001,00.51,001,83.80,001,79.79,001,00.00,001,00.00,001,1007.00,001,1006.34,001,207.11,001,02.52,001,,,,,,,,,,,,,,,,,,
1/28/2012 11:00,201201281100,142.85,001,00.71,001,00.21,001,01.32,001,85.85,001,77.35,001,00.00,001,00.00,001,1007.00,001,1006.44,001,194.89,001,02.52,001,,,,,,,,,,,,,,,,,,
1/28/2012 11:30,201201281130,261.50,001,01.69,001,01.21,001,02.19,001,82.00,001,74.96,001,00.00,001,00.00,001,1007.00,001,1006.51,001,199.28,001,02.35,001,,,,,,,,,,,,,,,,,,
1/28/2012 12:00,201201281200,280.65,001,02.61,001,02.13,001,03.17,001,79.30,001,71.75,001,00.00,001,00.00,001,1007.00,001,1006.56,001,213.43,001,02.19,001,,,,,,,,,,,,,,,,,,
1/28/2012 12:30,201201281230,286.30,001,03.61,001,03.21,001,03.55,001,75.65,001,69.17,001,00.00,001,00.00,001,1007.00,001,1006.78,001,223.50,001,01.74,001,,,,,,,,,,,,,,,,,,
1/28/2012 13:00,201201281300,213.10,001,03.70,001,03.26,001,03.30,001,74.40,001,71.54,001,00.00,001,00.00,001,1007.50,001,1006.72,001,208.86,001,02.14,001,,,,,,,,,,,,,,,,,,
1/28/2012 13:30,201201281330,186.20,001,03.50,001,03.01,001,03.42,001,76.75,001,72.47,001,00.00,001,00.00,001,1007.00,001,1006.89,001,205.32,001,01.72,001,,,,,,,,,,,,,,,,,,
1/28/2012 14:00,201201281400,130.25,001,03.62,001,03.09,001,03.15,001,77.70,001,73.96,001,00.00,001,00.00,001,1008.00,001,1006.93,001,199.27,001,01.27,001,,,,,,,,,,,,,,,,,,
1/28/2012 14:30,201201281430,127.65,001,03.49,001,02.92,001,03.37,001,78.80,001,73.85,001,00.00,001,00.00,001,1008.00,001,1006.94,001,194.97,001,01.28,001,,,,,,,,,,,,,,,,,,
1/28/2012 15:00,201201281500,75.24,001,03.65,001,03.02,001,03.04,001,78.60,001,75.13,001,00.00,001,00.00,001,1008.00,001,1007.06,001,204.90,001,01.14,001,,,,,,,,,,,,,,,,,,
1/28/2012 15:30,201201281530,54.80,001,03.23,001,02.62,001,02.63,001,80.35,001,76.92,001,00.00,001,00.00,001,1008.00,001,1007.05,001,195.70,001,01.20,001,,,,,,,,,,,,,,,,,,
1/28/2012 16:00,201201281600,42.07,001,02.77,001,02.17,001,02.34,001,82.65,001,78.81,001,00.00,001,00.00,001,1008.00,001,1007.10,001,208.66,001,01.49,001,,,,,,,,,,,,,,,,,,
1/28/2012 16:30,201201281630,00.02,003,02.47,001,01.89,001,02.18,001,84.70,001,80.02,001,00.00,001,00.00,001,1008.00,001,1007.25,001,200.23,001,01.48,001,,,,,,,,,,,,,,,,,,
1/28/2012 17:00,201201281700,00.02,003,02.30,001,01.73,001,01.70,001,85.90,001,81.94,001,00.00,001,00.00,001,1008.00,001,1007.37,001,205.74,001,01.22,001,,,,,,,,,,,,,,,,,,
1/28/2012 17:30,201201281730,00.02,003,01.82,001,01.20,001,01.22,001,88.05,001,83.66,001,00.00,001,00.00,001,1008.00,001,1007.54,001,187.87,001,01.42,001,,,,,,,,,,,,,,,,,,
1/28/2012 18:00,201201281800,00.02,003,01.41,001,00.80,001,01.13,001,89.45,001,83.19,001,00.00,001,00.00,001,1008.00,001,1007.61,001,204.28,001,01.44,001,,,,,,,,,,,,,,,,,,
1/28/2012 18:30,201201281830,00.02,003,01.34,001,00.77,001,01.03,001,88.65,001,81.88,001,00.00,001,00.00,001,1008.00,001,1007.68,001,188.42,001,01.51,001,,,,,,,,,,,,,,,,,,
1/28/2012 19:00,201201281900,00.02,003,01.16,001,00.56,001,00.59,001,87.70,001,83.63,001,00.00,001,00.00,001,1008.00,001,1007.70,001,207.67,001,01.82,001,,,,,,,,,,,,,,,,,,
1/28/2012 19:30,201201281930,00.02,003,00.80,001,00.24,001,00.81,001,89.45,001,81.57,001,00.00,001,00.00,001,1008.00,001,1007.73,001,222.45,001,01.05,001,,,,,,,,,,,,,,,,,,
1/28/2012 20:00,201201282000,00.02,003,01.10,001,00.48,001,01.46,001,86.65,001,77.18,001,00.00,001,00.00,001,1008.50,001,1007.86,001,216.89,001,01.40,001,,,,,,,,,,,,,,,,,,
1/28/2012 20:30,201201282030,00.02,003,01.78,001,01.20,001,00.90,001,81.75,001,78.20,001,00.00,001,00.00,001,1009.00,001,1007.94,001,212.53,001,01.17,001,,,,,,,,,,,,,,,,,,
1/28/2012 21:00,201201282100,00.02,003,00.99,001,00.33,001,-00.25,001,84.45,001,82.99,001,00.00,001,00.00,001,1009.00,001,1007.93,001,207.55,001,01.52,001,,,,,,,,,,,,,,,,,,
1/28/2012 21:30,201201282130,00.02,003,-00.24,001,-00.85,001,-00.09,001,89.85,001,83.68,001,00.00,001,00.00,001,1009.00,001,1007.90,001,216.19,001,01.07,001,,,,,,,,,,,,,,,,,,
1/28/2012 22:00,201201282200,00.02,003,00.26,001,-00.34,001,00.26,001,88.50,001,80.29,001,00.00,001,00.00,001,1009.00,001,1007.84,001,213.18,001,00.91,001,,,,,,,,,,,,,,,,,,
1/28/2012 22:30,201201282230,00.02,003,00.56,001,-00.11,001,-00.31,001,85.30,001,82.27,001,00.00,001,00.00,001,1009.00,001,1007.83,001,199.65,001,01.07,001,,,,,,,,,,,,,,,,,,
1/28/2012 23:00,201201282300,00.02,003,-00.12,001,-00.78,001,-01.08,001,87.80,001,85.56,001,00.00,001,00.00,001,1009.00,001,1007.80,001,207.37,001,00.94,001,,,,,,,,,,,,,,,,,,
1/28/2012 23:30,201201282330,00.02,003,-00.99,001,-01.68,001,-01.72,001,91.65,001,88.22,001,00.00,001,00.00,001,1009.00,001,1007.79,001,202.28,001,00.96,001,,,,,,,,,,,,,,,,,,
1/29/2012 0:00,201201290000,00.02,003,-01.60,001,-02.25,001,-01.73,001,94.65,001,88.88,001,00.00,001,00.00,001,1009.00,001,1007.64,001,195.48,001,01.14,001,,,,,,,,,,,,,,,,,,
1/29/2012 0:30,201201290030,00.02,003,-01.53,001,-02.13,001,-01.68,001,94.85,001,88.55,001,00.00,001,00.00,001,1008.00,001,1007.52,001,206.51,001,01.20,001,,,,,,,,,,,,,,,,,,
1/29/2012 1:00,201201290100,00.02,003,-01.55,001,-02.14,001,-01.56,001,94.60,001,88.47,001,00.00,001,00.00,001,1008.00,001,1007.42,001,213.91,001,01.01,001,,,,,,,,,,,,,,,,,,
1/29/2012 1:30,201201290130,00.02,003,-01.38,001,-01.96,001,-00.99,001,94.55,001,87.48,001,00.00,001,00.00,001,1008.00,001,1007.42,001,195.85,001,00.96,001,,,,,,,,,,,,,,,,,,
1/29/2012 2:00,201201290200,00.02,003,-00.73,001,-01.33,001,-00.61,001,92.65,001,87.05,001,00.00,001,00.00,001,1008.00,001,1007.40,001,192.92,001,00.84,001,,,,,,,,,,,,,,,,,,
1/29/2012 2:30,201201290230,00.02,003,-00.33,001,-00.93,001,-00.14,001,92.40,001,86.29,001,00.00,001,00.00,001,1008.00,001,1007.29,001,202.27,001,01.08,001,,,,,,,,,,,,,,,,,,
1/29/2012 3:00,201201290300,00.02,003,00.07,001,-00.51,001,00.72,001,91.70,001,84.55,001,00.00,001,00.00,001,1008.00,001,1007.21,001,208.62,001,01.17,001,,,,,,,,,,,,,,,,,,
1/29/2012 3:30,201201290330,00.02,003,01.06,001,00.51,001,00.94,001,89.35,001,84.16,001,00.00,001,00.00,001,1008.00,001,1007.01,001,205.19,001,01.13,001,,,,,,,,,,,,,,,,,,
1/29/2012 4:00,201201290400,00.02,003,01.11,001,00.52,001,00.85,001,90.00,001,85.41,001,00.00,001,00.00,001,1008.00,001,1006.85,001,192.16,001,00.93,001,,,,,,,,,,,,,,,,,,
1/29/2012 4:30,201201290430,00.02,003,01.06,001,00.44,001,00.62,001,91.10,001,86.28,001,00.00,001,00.00,001,1008.00,001,1006.74,001,200.30,001,00.79,001,,,,,,,,,,,,,,,,,,
1/29/2012 5:00,201201290500,00.02,003,00.85,001,00.20,001,00.48,001,92.05,001,86.81,001,00.00,001,00.00,001,1008.00,001,1006.79,001,139.83,001,00.48,001,,,,,,,,,,,,,,,,,,
1/29/2012 5:30,201201290530,00.02,003,00.75,001,00.01,001,00.34,001,92.35,001,87.50,001,00.00,001,00.00,001,1008.00,001,1006.75,001,212.38,001,00.64,001,,,,,,,,,,,,,,,,,,
1/29/2012 6:00,201201290600,00.02,003,00.53,001,-00.14,001,00.35,001,93.35,001,88.11,001,00.00,001,00.00,001,1008.00,001,1006.70,001,212.71,001,00.89,001,,,,,,,,,,,,,,,,,,
1/29/2012 6:30,201201290630,00.02,003,00.51,001,-00.11,001,00.37,001,94.20,001,88.30,001,00.00,001,00.00,001,1007.50,001,1006.70,001,133.85,001,00.62,001,,,,,,,,,,,,,,,,,,
1/29/2012 7:00,201201290700,00.02,003,00.56,001,-00.11,001,00.30,001,94.35,001,88.70,001,00.00,001,00.00,001,1007.50,001,1006.58,001,329.82,001,00.63,001,,,,,,,,,,,,,,,,,,
1/29/2012 7:30,201201290730,00.02,003,00.55,001,-00.14,001,00.44,001,94.60,001,88.62,001,00.00,001,00.00,001,1007.00,001,1006.50,001,249.88,001,00.61,001,,,,,,,,,,,,,,,,,,
1/29/2012 8:00,201201290800,00.02,003,00.72,001,00.03,001,00.69,001,94.30,001,88.40,001,00.00,001,00.00,001,1007.00,001,1006.50,001,232.57,001,00.56,001,,,,,,,,,,,,,,,,,,
1/29/2012 8:30,201201290830,04.83,001,01.06,001,00.43,001,00.66,001,93.60,001,87.16,001,00.00,001,00.00,001,1007.00,001,1006.53,001,186.56,001,01.01,001,,,,,,,,,,,,,,,,,,
1/29/2012 9:00,201201290900,15.08,001,00.82,001,00.17,001,00.60,001,92.90,001,88.18,001,00.00,001,00.00,001,1007.00,001,1006.46,001,209.61,001,00.66,001,,,,,,,,,,,,,,,,,,
1/29/2012 9:30,201201290930,23.64,001,00.86,001,00.22,001,01.48,001,94.05,001,86.71,001,00.00,001,00.00,001,1007.00,001,1006.57,001,210.11,001,00.93,001,,,,,,,,,,,,,,,,,,
1/29/2012 10:00,201201291000,53.21,001,01.91,001,01.36,001,02.27,001,91.30,001,83.32,001,00.00,001,00.00,001,1007.00,001,1006.65,001,208.49,001,00.90,001,,,,,,,,,,,,,,,,,,
1/29/2012 10:30,201201291030,72.25,001,02.52,001,01.95,001,02.57,001,88.40,001,81.79,001,00.00,001,00.00,001,1007.00,001,1006.69,001,212.77,001,01.08,001,,,,,,,,,,,,,,,,,,
1/29/2012 11:00,201201291100,84.95,001,02.81,001,02.26,001,02.86,001,86.90,001,78.31,001,00.00,001,00.00,001,1007.00,001,1006.69,001,217.00,001,01.19,001,,,,,,,,,,,,,,,,,,
1/29/2012 11:30,201201291130,101.05,001,03.03,001,02.49,001,02.97,001,83.55,001,76.10,001,00.00,001,00.00,001,1007.00,001,1006.67,001,203.03,001,01.04,001,,,,,,,,,,,,,,,,,,
1/29/2012 12:00,201201291200,113.10,001,03.18,001,02.64,001,03.18,001,81.20,001,75.65,001,00.00,001,00.00,001,1007.00,001,1006.49,001,145.01,001,00.86,001,,,,,,,,,,,,,,,,,,
1/29/2012 12:30,201201291230,138.10,001,03.46,001,02.84,001,03.30,001,80.45,001,75.01,001,00.00,001,00.00,001,1007.00,001,1006.18,001,166.20,001,00.77,001,,,,,,,,,,,,,,,,,,
1/29/2012 13:00,201201291300,125.30,001,03.62,001,02.99,001,03.51,001,79.65,001,72.24,001,00.00,001,00.00,001,1007.00,001,1006.09,001,102.69,001,00.78,001,,,,,,,,,,,,,,,,,,
1/29/2012 13:30,201201291330,111.75,001,03.76,001,03.11,001,02.99,001,77.00,001,76.15,001,00.00,001,00.00,001,1007.00,001,1005.97,001,75.41,001,01.04,001,,,,,,,,,,,,,,,,,,
1/29/2012 14:00,201201291400,98.85,001,03.13,001,02.52,001,02.78,001,81.80,001,77.23,001,00.00,001,00.00,001,1007.00,001,1005.87,001,74.35,001,00.75,001,,,,,,,,,,,,,,,,,,
1/29/2012 14:30,201201291430,90.15,001,03.00,001,02.38,001,02.80,001,82.50,001,77.14,001,00.00,001,00.00,001,1007.00,001,1005.87,001,74.63,001,00.69,001,,,,,,,,,,,,,,,,,,
1/29/2012 15:00,201201291500,78.65,001,03.06,001,02.42,001,02.77,001,82.25,001,78.01,001,00.00,001,00.00,001,1007.00,001,1005.79,001,113.53,001,01.00,001,,,,,,,,,,,,,,,,,,
1/29/2012 15:30,201201291530,62.30,001,03.01,001,02.36,001,02.51,001,83.20,001,80.17,001,00.00,001,00.00,001,1006.50,001,1005.70,001,97.33,001,00.76,001,,,,,,,,,,,,,,,,,,
1/29/2012 16:00,201201291600,36.54,001,02.73,001,02.05,001,02.23,001,85.50,001,81.72,001,00.00,001,00.00,001,1006.00,001,1005.68,001,89.54,001,00.74,001,,,,,,,,,,,,,,,,,,
1/29/2012 16:30,201201291630,15.98,001,02.45,001,01.74,001,01.68,001,87.00,001,83.94,001,00.00,001,00.00,001,1006.00,001,1005.70,001,101.16,001,00.65,001,,,,,,,,,,,,,,,,,,
1/29/2012 17:00,201201291700,00.02,003,01.93,001,01.17,001,01.30,001,89.20,001,86.33,001,00.00,001,00.00,001,1006.00,001,1005.67,001,187.41,001,00.47,001,,,,,,,,,,,,,,,,,,
1/29/2012 17:30,201201291730,00.02,003,01.63,001,00.78,001,01.02,001,91.20,001,88.35,001,00.00,001,00.00,001,1006.00,001,1005.78,001,183.89,001,00.69,001,,,,,,,,,,,,,,,,,,
1/29/2012 18:00,201201291800,00.02,003,01.39,001,00.61,001,00.99,001,92.85,001,89.11,001,00.00,001,00.00,001,1007.00,001,1005.75,001,219.86,001,00.52,001,,,,,,,,,,,,,,,,,,
1/29/2012 18:30,201201291830,00.02,003,01.38,001,00.60,001,00.96,001,94.15,001,89.59,001,00.00,001,00.00,001,1006.50,001,1005.74,001,276.37,001,00.24,001,,,,,,,,,,,,,,,,,,
1/29/2012 19:00,201201291900,00.02,003,01.46,001,00.54,001,01.13,001,94.25,001,89.85,001,00.00,001,00.00,001,1006.50,001,1005.71,001,244.47,001,00.45,001,,,,,,,,,,,,,,,,,,
1/29/2012 19:30,201201291930,00.02,003,01.61,001,00.82,001,01.49,001,94.05,001,89.15,001,00.00,001,00.00,001,1006.00,001,1005.64,001,182.79,001,00.52,001,,,,,,,,,,,,,,,,,,
1/29/2012 20:00,201201292000,00.02,003,01.82,001,01.12,001,01.67,001,93.70,001,87.87,001,00.00,001,00.00,001,1006.00,001,1005.56,001,172.44,001,00.62,001,,,,,,,,,,,,,,,,,,
1/29/2012 20:30,201201292030,00.02,003,01.93,001,01.25,001,01.72,001,93.00,001,87.08,001,00.00,001,00.00,001,1006.00,001,1005.50,001,194.44,001,00.70,001,,,,,,,,,,,,,,,,,,
1/29/2012 21:00,201201292100,00.02,003,01.96,001,01.28,001,01.77,001,92.55,001,86.91,001,00.00,001,00.00,001,1006.00,001,1005.35,001,155.68,001,00.98,001,,,,,,,,,,,,,,,,,,
1/29/2012 21:30,201201292130,00.02,003,01.94,001,01.29,001,01.67,001,92.65,001,86.82,001,00.00,001,00.00,001,1006.00,001,1005.38,001,113.16,001,01.34,001,,,,,,,,,,,,,,,,,,
1/29/2012 22:00,201201292200,00.02,003,01.80,001,01.21,001,01.60,001,92.75,001,86.80,001,00.00,001,00.00,001,1006.00,001,1005.41,001,131.17,001,01.06,001,,,,,,,,,,,,,,,,,,
1/29/2012 22:30,201201292230,00.02,003,01.76,001,01.16,001,01.56,001,92.75,001,86.56,001,00.00,001,00.00,001,1006.00,001,1005.28,001,103.80,001,00.92,001,,,,,,,,,,,,,,,,,,
1/29/2012 23:00,201201292300,00.02,003,01.72,001,01.09,001,01.40,001,92.45,001,87.80,001,00.00,001,00.00,001,1006.00,001,1005.16,001,137.10,001,00.92,001,,,,,,,,,,,,,,,,,,
1/29/2012 23:30,201201292330,00.02,003,01.56,001,00.93,001,01.46,001,93.50,001,87.02,001,00.00,001,00.00,001,1006.00,001,1005.08,001,143.30,001,00.99,001,,,,,,,,,,,,,,,,,,
1/30/2012 0:00,201201300000,00.02,003,01.62,001,01.03,001,01.58,001,93.00,001,85.32,001,00.00,001,00.00,001,1006.00,001,1004.97,001,157.65,001,00.74,001,,,,,,,,,,,,,,,,,,
1/30/2012 0:30,201201300030,00.02,003,01.71,001,01.09,001,01.36,001,91.40,001,85.35,001,00.00,001,00.00,001,1006.00,001,1004.86,001,126.16,001,00.49,001,,,,,,,,,,,,,,,,,,
1/30/2012 1:00,201201300100,00.02,003,01.58,001,00.83,001,01.01,001,91.05,001,85.71,001,00.00,001,00.00,001,1006.00,001,1004.87,001,145.81,001,00.81,001,,,,,,,,,,,,,,,,,,
1/30/2012 1:30,201201300130,00.02,003,01.26,001,00.58,001,01.20,001,91.15,001,83.67,001,00.00,001,00.00,001,1006.00,001,1004.74,001,191.15,001,00.81,001,,,,,,,,,,,,,,,,,,
1/30/2012 2:00,201201300200,00.02,003,01.43,001,00.81,001,01.17,001,89.10,001,82.84,001,00.00,001,00.00,001,1005.50,001,1004.72,001,185.65,001,00.62,001,,,,,,,,,,,,,,,,,,
1/30/2012 2:30,201201300230,00.02,003,01.48,001,00.76,001,01.21,001,88.00,001,81.28,001,00.00,001,00.00,001,1005.00,001,1004.61,001,199.54,001,00.80,001,,,,,,,,,,,,,,,,,,
1/30/2012 3:00,201201300300,00.02,003,01.45,001,00.77,001,00.81,001,86.55,001,81.32,001,00.00,001,00.00,001,1005.00,001,1004.45,001,353.00,001,00.55,001,,,,,,,,,,,,,,,,,,
1/30/2012 3:30,201201300330,00.02,003,01.07,001,00.32,001,00.37,001,86.60,001,81.91,001,00.00,001,00.00,001,1005.00,001,1004.49,001,322.24,001,00.61,001,,,,,,,,,,,,,,,,,,
1/30/2012 4:00,201201300400,00.02,003,00.69,001,-00.12,001,00.32,001,87.00,001,81.67,001,00.00,001,00.00,001,1005.00,001,1004.45,001,341.02,001,00.59,001,,,,,,,,,,,,,,,,,,
1/30/2012 4:30,201201300430,00.02,003,00.84,001,00.01,001,00.27,001,85.65,001,81.44,001,00.00,001,00.00,001,1005.00,001,1004.54,001,255.58,001,00.97,001,,,,,,,,,,,,,,,,,,
1/30/2012 5:00,201201300500,00.02,003,00.67,001,-00.05,001,00.29,001,85.75,001,81.35,001,00.00,001,00.00,001,1005.00,001,1004.69,001,199.63,001,00.75,001,,,,,,,,,,,,,,,,,,
1/30/2012 5:30,201201300530,00.02,003,00.55,001,-00.15,001,00.45,001,86.80,001,82.24,001,00.00,001,00.00,001,1005.00,001,1004.72,001,198.30,001,00.72,001,,,,,,,,,,,,,,,,,,
1/30/2012 6:00,201201300600,00.02,003,00.72,001,00.05,001,00.46,001,87.65,001,82.71,001,00.00,001,00.00,001,1006.00,001,1004.80,001,278.71,001,00.63,001,,,,,,,,,,,,,,,,,,
1/30/2012 6:30,201201300630,00.02,003,00.73,001,00.00,001,00.49,001,88.05,001,83.56,001,00.00,001,00.00,001,1006.00,001,1004.73,001,235.41,001,00.76,001,,,,,,,,,,,,,,,,,,
1/30/2012 7:00,201201300700,00.02,003,00.74,001,00.07,001,00.55,001,89.15,001,82.49,001,00.00,001,00.00,001,1005.00,001,1004.68,001,236.94,001,00.90,001,,,,,,,,,,,,,,,,,,
1/30/2012 7:30,201201300730,00.02,003,00.78,001,00.15,001,00.59,001,88.10,001,80.54,001,00.00,001,00.00,001,1005.00,001,1004.63,001,267.98,001,01.06,001,,,,,,,,,,,,,,,,,,
1/30/2012 8:00,201201300800,00.02,003,00.81,001,00.18,001,00.25,001,86.25,001,82.44,001,00.00,001,00.00,001,1005.00,001,1004.85,001,41.76,001,00.73,001,,,,,,,,,,,,,,,,,,
1/30/2012 8:30,201201300830,06.58,001,00.47,001,-00.25,001,-00.10,001,87.95,001,84.92,001,00.00,001,00.00,001,1006.00,001,1004.90,001,188.20,001,00.44,001,,,,,,,,,,,,,,,,,,
1/30/2012 9:00,201201300900,19.60,001,00.23,001,-00.55,001,-00.18,001,89.75,001,85.23,001,00.00,001,00.00,001,1006.00,001,1004.91,001,293.30,001,00.36,001,,,,,,,,,,,,,,,,,,
1/30/2012 9:30,201201300930,36.67,001,00.22,001,-00.63,001,00.00,001,89.75,001,84.81,001,00.00,001,00.00,001,1006.00,001,1005.01,001,347.70,001,00.47,001,,,,,,,,,,,,,,,,,,
1/30/2012 10:00,201201301000,50.60,001,00.35,001,-00.37,001,00.24,001,89.75,001,85.00,001,00.00,001,00.00,001,1006.00,001,1005.00,001,02.79,001,00.52,001,,,,,,,,,,,,,,,,,,
1/30/2012 10:30,201201301030,40.76,001,00.55,001,-00.17,001,00.36,001,90.20,001,85.71,001,00.00,001,00.00,001,1006.00,001,1004.98,001,353.06,001,00.60,001,,,,,,,,,,,,,,,,,,
1/30/2012 11:00,201201301100,82.26,001,00.71,001,00.06,001,01.11,001,91.05,001,82.68,001,00.00,001,00.00,001,1006.00,001,1004.85,001,136.66,001,00.85,001,,,,,,,,,,,,,,,,,,
1/30/2012 11:30,201201301130,105.05,001,01.48,001,00.90,001,01.48,001,87.65,001,79.05,001,00.00,001,00.00,001,1006.00,001,1004.71,001,155.24,001,01.50,001,,,,,,,,,,,,,,,,,,
1/30/2012 12:00,201201301200,55.60,001,01.65,001,01.05,001,01.49,001,84.65,001,78.67,001,00.00,001,00.00,001,1005.00,001,1004.66,001,144.09,001,01.28,001,,,,,,,,,,,,,,,,,,
1/30/2012 12:30,201201301230,114.65,001,01.78,001,01.19,001,01.89,001,83.80,001,76.43,001,00.00,001,00.00,001,1005.00,001,1004.49,001,131.51,001,01.32,001,,,,,,,,,,,,,,,,,,
1/30/2012 13:00,201201301300,128.00,001,02.14,001,01.54,001,02.24,001,81.55,001,73.15,001,00.00,001,00.00,001,1005.00,001,1004.28,001,114.77,001,01.49,001,,,,,,,,,,,,,,,,,,
1/30/2012 13:30,201201301330,166.15,001,02.51,001,01.93,001,02.35,001,78.00,001,71.29,001,00.00,001,00.00,001,1005.00,001,1004.11,001,108.20,001,01.18,001,,,,,,,,,,,,,,,,,,
1/30/2012 14:00,201201301400,120.65,001,02.57,001,01.97,001,02.38,001,76.30,001,66.95,001,00.00,001,00.00,001,1005.00,001,1003.91,001,103.50,001,01.24,001,,,,,,,,,,,,,,,,,,
1/30/2012 14:30,201201301430,87.32,001,02.56,001,01.98,001,02.24,001,71.90,001,65.21,001,00.00,001,00.00,001,1005.00,001,1003.73,001,102.35,001,01.43,001,,,,,,,,,,,,,,,,,,
1/30/2012 15:00,201201301500,58.37,001,02.39,001,01.81,001,01.96,001,70.05,001,57.54,001,00.00,001,00.00,001,1004.00,001,1003.70,001,120.04,001,01.78,001,,,,,,,,,,,,,,,,,,
1/30/2012 15:30,201201301530,33.79,001,02.08,001,01.50,001,01.46,001,61.94,001,59.27,001,00.00,001,00.00,001,1004.00,001,1003.64,001,109.65,001,01.02,001,,,,,,,,,,,,,,,,,,
1/30/2012 16:00,201201301600,31.37,001,01.72,001,01.05,001,00.93,001,63.85,001,62.33,001,00.00,001,00.00,001,1004.00,001,1003.70,001,39.58,001,00.36,001,,,,,,,,,,,,,,,,,,
1/30/2012 16:30,201201301630,17.60,001,01.29,001,00.43,001,00.28,001,66.80,001,66.32,001,00.00,001,00.00,001,1004.00,001,1003.74,001,352.15,001,00.42,001,,,,,,,,,,,,,,,,,,
1/30/2012 17:00,201201301700,00.02,003,00.71,001,-00.12,001,00.04,001,70.72,001,69.49,001,00.00,001,00.00,001,1004.50,001,1003.65,001,348.25,001,00.62,001,,,,,,,,,,,,,,,,,,
1/30/2012 17:30,201201301730,00.02,003,00.42,001,-00.28,001,00.18,001,74.25,001,70.81,001,00.00,001,00.00,001,1004.00,001,1003.61,001,343.61,001,00.50,001,,,,,,,,,,,,,,,,,,
1/30/2012 18:00,201201301800,00.02,003,00.59,001,-00.10,001,00.44,001,75.55,001,70.95,001,00.00,001,00.00,001,1004.00,001,1003.65,001,354.37,001,00.43,001,,,,,,,,,,,,,,,,,,
1/30/2012 18:30,201201301830,00.02,003,00.80,001,00.10,001,00.67,001,75.75,001,71.16,001,00.00,001,00.02,001,1004.00,001,1003.54,001,30.75,001,00.44,001,,,,,,,,,,,,,,,,,,
1/30/2012 19:00,201201301900,00.02,003,01.01,001,00.27,001,00.48,001,76.10,001,78.06,001,00.00,001,00.00,001,1004.00,001,1003.53,001,19.83,001,00.38,001,,,,,,,,,,,,,,,,,,
1/30/2012 19:30,201201301930,00.02,003,00.71,001,-00.05,001,00.50,001,83.85,001,79.20,001,00.00,001,00.00,001,1004.00,001,1003.37,001,347.41,001,00.47,001,,,,,,,,,,,,,,,,,,
1/30/2012 20:00,201201302000,00.02,003,00.78,001,00.08,001,00.77,001,84.75,001,80.61,001,00.00,001,00.00,001,1004.00,001,1003.31,001,11.12,001,00.41,001,,,,,,,,,,,,,,,,,,
1/30/2012 20:30,201201302030,00.02,003,01.11,001,00.41,001,00.81,001,85.75,001,80.95,001,00.00,001,00.00,001,1004.00,001,1003.26,001,08.39,001,00.44,001,,,,,,,,,,,,,,,,,,
